,ID,Count
0,18288,413.04511873805706
1,18289,329.63161416492517
2,18290,278.96987458698106
3,18291,230.50284091077634
4,18292,194.01493777516927
5,18293,173.6753723781129
6,18294,186.74818579282143
7,18295,216.57856968803512
8,18296,249.4037362183982
9,18297,322.28412049388453
10,18298,457.445707365554
11,18299,507.1385466791851
12,18300,512.5115390540119
13,18301,453.27650016760083
14,18302,484.6629966085295
15,18303,478.5413085749153
16,18304,466.3272931217569
17,18305,477.190720327691
18,18306,488.93496595572793
19,18307,518.8093907720466
20,18308,498.55790721720064
21,18309,465.3510527039263
22,18310,467.0392880129566
23,18311,455.99969712260196
24,18288,413.5244017243209
25,18289,330.01410706276306
26,18290,279.29358138922623
27,18291,230.7703082767424
28,18292,194.24006586539042
29,18293,173.87689915409365
30,18294,186.96488180036556
31,18295,216.82987982083117
32,18296,249.69313551657973
33,18297,322.65808761923796
34,18298,457.9765112286999
35,18299,507.72701236023346
36,18300,513.1062393658882
37,18301,453.8024662297766
38,18302,485.2253824540657
39,18303,479.0965910295903
40,18304,466.86840286373035
41,18305,477.7444356074038
42,18306,489.5023088438076
43,18307,519.4113988889097
44,18308,499.136416226886
45,18309,465.89102965095424
46,18310,467.5812239286872
47,18311,456.5288230864677
48,18288,413.4426541009585
49,18289,329.94886818250365
50,18290,279.23836920246356
51,18291,230.72468841932755
52,18292,194.20166749354092
53,18293,173.84252627741645
54,18294,186.92792162419295
55,18295,216.78701577876888
56,18296,249.64377489768214
57,18297,322.59430291460734
58,18298,457.8859760844796
59,18299,507.62664228193995
60,18300,513.0048058944276
61,18301,453.7127562321668
62,18302,485.12946061331024
63,18303,479.0018807597383
64,18304,466.7761099247938
65,18305,477.6499926385665
66,18306,489.4055415183208
67,18307,519.3087189811957
68,18308,499.03774438166954
69,18309,465.79892992416427
70,18310,467.4887900756289
71,18311,456.43857412865987
72,18288,413.3945316706786
73,18289,329.9104639655039
74,18290,279.20586740609554
75,18291,230.69783334614584
76,18292,194.1790634972877
77,18293,173.82229197220508
78,18294,186.90616425158876
79,18295,216.76178297332672
80,18296,249.61471774783757
